Timestamp,What age group do you fall under?,Which is your gender?,What would you say accurately matches your personality in a group discussion?,Choose all the options that are close to where you reside.,How often do you eat from fast foods each month?,What does your purchase mostly consist of?  [Nigerian dishes],What does your purchase mostly consist of?  [Burger],What does your purchase mostly consist of?  [Pizza],What does your purchase mostly consist of?  [Small chops],What does your purchase mostly consist of?  [Shawarma],What do you look for when choosing a fast food restaurant?,Which of the following have you been to at least twice in the last 2 months,"When it comes to ordering, which do you prefer the most?",What is the best way to reach you for special offers/Discounts?,What about a fast food restaurant endears you to them? [Their special offers],What about a fast food restaurant endears you to them? [The quality],What about a fast food restaurant endears you to them? [Value for your money],What about a fast food restaurant endears you to them? [Excellent service],What about a fast food restaurant endears you to them? [Convenience],What about a fast food restaurant endears you to them? [Price],What about a fast food restaurant endears you to them? [Social media savviness],What do you consider yourself to be the most?
2018/09/07 10:22:07 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Gbagada,2 - 3,Highly Unlikely,Likely,Most likely,Most likely,Most likely,Cheapest place;Value for your money,Domino's Pizza Saka,Order in a physical store and dine in,An app belonging to the restaurant,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/07 10:30:45 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Magodo,More than 10,Most likely,Highly Unlikely,Most likely,Most likely,Most likely,Quality;Value for your money,Domino's Pizza Saka,Order online and get delivered,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/07 10:37:21 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Gbagada,4 - 6,Likely,Most likely,Highly Unlikely,Likely,Likely,Quality,Domino's Pizza Saka,Order in a physical store and takeaway,Via SMS,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Burger Elitist
2018/09/07 10:39:46 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,0 - 1,Likely,Likely,Likely,Likely,Likely,Closest place,The place,Order in a physical store and takeaway,Via Emails,Indifferent,Agree,Agree,Agree,Agree,Agree,Indifferent,A Jollof Warrior
2018/09/07 10:41:50 PM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Victoria Island;Ikoyi;Lekki Phase 1,2 - 3,Most likely,Highly Unlikely,Highly Unlikely,Likely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza Saka;Milano Pizza,Order online and get delivered;Order in a physical store and dine in;Order online and pick up;Order in a physical store and takeaway,In-stores,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Small Chops Supremacist
2018/09/07 10:44:58 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Ikoyi,4 - 6,Most likely,Likely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Value for your money,Domino's Pizza Saka,Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Jollof Warrior
2018/09/07 10:51:21 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo;Gbagada,7 - 10,Likely,Highly Unlikely,Most likely,Likely,Most likely,Value for your money,Domino's Pizza Saka,Order online and get delivered,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/07 11:01:17 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,4 - 6,Most likely,Likely,Likely,Highly Unlikely,Most likely,Closest place;Vast menu options;Quality;Value for your money,Debonair's Pizza,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/07 11:02:14 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,4 - 6,Highly Unlikely,Highly Unlikely,Likely,Most likely,Likely,Value for your money,underground ,Order in a physical store and dine in,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,Small Chops Supremacist
2018/09/07 11:14:26 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Lekki Phase 1,2 - 3,Most likely,Highly Unlikely,Likely,Highly Unlikely,Highly Unlikely,Closest place;Cheapest place;Quality;Value for your money,Domino's Pizza Saka,Order online and get delivered,Via SMS,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/07 11:26:33 PM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Lekki Phase 1,More than 10,Likely,Most likely,Most likely,Likely,Most likely,Closest place;Vast menu options;Value for your money,Domino's Pizza Saka;Ying Yang,Order in a physical store and dine in,Via SMS,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,Amala and Abula loyal fan
