Timestamp,What age group do you fall under?,Which is your gender?,What would you say accurately matches your personality in a group discussion?,Choose all the options that are close to where you reside.,How often do you eat from fast foods each month?,What does your purchase mostly consist of?  [Nigerian dishes],What does your purchase mostly consist of?  [Burger],What does your purchase mostly consist of?  [Pizza],What does your purchase mostly consist of?  [Small chops],What does your purchase mostly consist of?  [Shawarma],What do you look for when choosing a fast food restaurant?,Which of the following have you been to at least twice in the last 2 months,"When it comes to ordering, which do you prefer the most?",What is the best way to reach you for special offers/Discounts?,What about a fast food restaurant endears you to them? [Their special offers],What about a fast food restaurant endears you to them? [The quality],What about a fast food restaurant endears you to them? [Value for your money],What about a fast food restaurant endears you to them? [Excellent service],What about a fast food restaurant endears you to them? [Convenience],What about a fast food restaurant endears you to them? [Price],What about a fast food restaurant endears you to them? [Social media savviness],What do you consider yourself to be the most?
2018/09/08 1:28:59 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,0 - 1,Most likely,Highly Unlikely,Highly Unlikely,Likely,Likely,Closest place;Vast menu options;Quality;Value for your money,Domino's Pizza,Order in a physical store and dine in,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Small Chops Supremacist
2018/09/08 1:30:10 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Magodo,More than 10,Most likely,Highly Unlikely,Likely,Likely,Most likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/08 1:31:33 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Victoria Island,2 - 3,Most likely,Likely,Likely,Highly Unlikely,Most likely,Vast menu options;Value for your money,"Domino's Pizza;Sugarcane, Burg ",Order online and get delivered;Order in a physical store and dine in,Via SMS,Agree,Strongly Agree,Strongly Agree,Indifferent,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 1:32:54 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,7 - 10,Likely,Likely,Likely,Likely,Likely,Value for your money,Domino's Pizza,Order in a physical store and dine in,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/08 1:33:18 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo,2 - 3,Most likely,Highly Unlikely,Likely,Most likely,Likely,Value for your money,Domino's Pizza,Order in a physical store and dine in,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,A Jollof Warrior
2018/09/08 1:35:07 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Magodo;Ikoyi;Lekki Phase 1;Gbagada,7 - 10,Most likely,Likely,Most likely,Highly Unlikely,Most likely,Value for your money,Domino's Pizza,Order online and get delivered,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Shawarma Expert
2018/09/08 1:36:34 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Magodo;Ikoyi;Lekki Phase 1;Gbagada,7 - 10,Likely,Likely,Likely,Most likely,Most likely,Quality,Domino's Pizza;Debonair's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Jollof Warrior
2018/09/08 1:39:11 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Gbagada,4 - 6,Most likely,Highly Unlikely,Most likely,Most likely,Most likely,Quality;Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and takeaway,Via SMS,Agree,Agree,Agree,Agree,Agree,Agree,Stongly Disagrre,Small Chops Supremacist
2018/09/08 1:43:21 PM GMT+1,18 - 24,Male,"Shy, but I hold my own.",Magodo,2 - 3,Most likely,Highly Unlikely,Most likely,Highly Unlikely,Likely,Closest place;Cheapest place;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order online and get delivered;Order in a physical store and dine in;Order online and pick up;Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Pizza Connoisseur
2018/09/08 1:43:21 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,4 - 6,Likely,Likely,Most likely,Likely,Most likely,Value for your money,Debonair's Pizza,Order in a physical store and dine in,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 1:48:05 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Victoria Island;Gbagada,4 - 6,Most likely,Highly Unlikely,Highly Unlikely,Likely,Likely,Quality;Value for your money,La Pizza,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 1:49:36 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Lekki Phase 1,2 - 3,Most likely,Highly Unlikely,Likely,Likely,Highly Unlikely,Vast menu options;Value for your money,Debonair's Pizza,Order in a physical store and dine in;Order online and pick up,Via Emails,Indifferent,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Indifferent,A Pizza Connoisseur
2018/09/08 2:01:05 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,2 - 3,Most likely,Likely,Likely,Highly Unlikely,Most likely,Quality;Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Pizza Connoisseur
2018/09/08 2:07:38 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,0 - 1,Likely,Highly Unlikely,Likely,Likely,Likely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Tank and Tummy and The Place,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 2:07:40 PM GMT+1,18 - 24,Female,,Gbagada,2 - 3,Most likely,Likely,Likely,Highly Unlikely,Most likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 2:11:31 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,4 - 6,Most likely,Highly Unlikely,Highly Unlikely,Most likely,Highly Unlikely,Quality;Value for your money,Domino's Pizza,Order in a physical store and dine in,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 2:15:29 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Victoria Island;Magodo;Ikoyi;Gbagada,7 - 10,Highly Unlikely,Most likely,Most likely,Most likely,Most likely,Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order online and get delivered;Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,A Burger Elitist
2018/09/08 2:17:28 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Magodo,7 - 10,Most likely,Highly Unlikely,Likely,Likely,Highly Unlikely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza,Order online and pick up,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 2:17:51 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Victoria Island,0 - 1,Most likely,Likely,Likely,Most likely,Likely,Quality,Simply delicious,Order in a physical store and takeaway,In-stores,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Small Chops Supremacist
2018/09/08 2:18:04 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,4 - 6,Most likely,Highly Unlikely,Highly Unlikely,Most likely,Highly Unlikely,Closest place,Domino's Pizza,Order in a physical store and takeaway,An app belonging to the restaurant,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Small Chops Supremacist
2018/09/08 2:18:37 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Ikoyi,2 - 3,Most likely,Highly Unlikely,Most likely,Highly Unlikely,Highly Unlikely,Value for your money,Domino's Pizza;Debonair's Pizza;KFC,Order in a physical store and takeaway,Through social media ,Indifferent,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,A Pizza Connoisseur
2018/09/08 2:20:51 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Victoria Island;Ikoyi;Lekki Phase 1,4 - 6,Likely,Highly Unlikely,Highly Unlikely,Most likely,Most likely,Quality;Value for your money,Buzz bar,Order in a physical store and dine in;Order in a physical store and takeaway,In-stores,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Coffee connoisseur 
2018/09/08 2:23:26 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Magodo,2 - 3,Highly Unlikely,Likely,Likely,Highly Unlikely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza,Order online and get delivered,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Pizza Connoisseur
2018/09/08 2:26:35 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Magodo,2 - 3,Most likely,Highly Unlikely,Most likely,Likely,Most likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 2:27:14 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,0 - 1,Most likely,Likely,Likely,Likely,Most likely,Vast menu options,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Indifferent,Strongly Agree,Agree,Agree,Agree,A Jollof Warrior
2018/09/08 2:30:05 PM GMT+1,40+,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Lekki Phase 1,4 - 6,Likely,Most likely,Highly Unlikely,Likely,Likely,Vast menu options;Value for your money,Domino's Pizza;Megachicken,Order online and pick up;Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Burger Elitist
2018/09/08 2:30:54 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,More than 10,Most likely,Highly Unlikely,Likely,Most likely,Most likely,Value for your money,Debonair's Pizza,Order in a physical store and dine in,In-stores,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Shawarma Expert
2018/09/08 2:31:53 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,4 - 6,Likely,Highly Unlikely,Most likely,Highly Unlikely,Most likely,Value for your money,Domino's Pizza,Order online and get delivered,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Shawarma Expert
2018/09/08 2:36:31 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Gbagada,4 - 6,Most likely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Vast menu options;Quality,Domino's Pizza,Order online and get delivered,Via SMS,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Indifferent,A Pizza Connoisseur
2018/09/08 2:38:14 PM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Gbagada,More than 10,Most likely,Likely,Most likely,Most likely,Most likely,Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order in a physical store and dine in,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,A Pizza Connoisseur
2018/09/08 2:40:24 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Ikoyi,More than 10,Most likely,Likely,Most likely,Highly Unlikely,Likely,Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,A Pizza Connoisseur
2018/09/08 2:41:58 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo,7 - 10,Likely,Highly Unlikely,Likely,Most likely,Likely,Vast menu options,Debonair's Pizza,Order in a physical store and dine in,An app belonging to the restaurant,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Jollof Warrior
2018/09/08 2:43:45 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,7 - 10,Likely,Highly Unlikely,Likely,Likely,Most likely,Closest place;Vast menu options;Quality;Value for your money,Domino's Pizza;Mega chicken,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Shawarma Expert
2018/09/08 2:45:15 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,2 - 3,Most likely,Highly Unlikely,Most likely,Most likely,Most likely,Cheapest place;Vast menu options;Value for your money,Domino's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Pizza Connoisseur
2018/09/08 2:48:12 PM GMT+1,25 - 34,Male,"Passionate, I sometimes over talk.",Magodo;Gbagada,4 - 6,Most likely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Likely,Closest place;Cheapest place;Value for your money,Domino's Pizza,Order online and get delivered;Order online and pick up,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,I prefer Nigerian meals 
2018/09/08 2:55:37 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Magodo;Ikoyi;Lekki Phase 1;Gbagada,2 - 3,Most likely,Likely,Most likely,Highly Unlikely,Most likely,Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza;The place,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Indifferent,A Shawarma Expert
2018/09/08 3:03:52 PM GMT+1,18 - 24,Female,I am authoritative.,Victoria Island,2 - 3,Most likely,Highly Unlikely,Highly Unlikely,Likely,Highly Unlikely,Value for your money,Domino's Pizza;Chicken republic,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 3:20:15 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,0 - 1,Likely,Most likely,Most likely,Likely,Most likely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Small Chops Supremacist
2018/09/08 3:22:45 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Victoria Island;Ikoyi;Lekki Phase 1,4 - 6,Likely,Highly Unlikely,Highly Unlikely,Likely,Highly Unlikely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza,Order online and get delivered,Via SMS,Indifferent,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Indifferent,any food that tastes good (quality)
2018/09/08 3:24:16 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Gbagada,2 - 3,Most likely,Highly Unlikely,Likely,Most likely,Likely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Jollof Warrior
2018/09/08 3:30:31 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Magodo;Gbagada,More than 10,Likely,Most likely,Likely,Likely,Highly Unlikely,Vast menu options;Value for your money,Domino's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,Rice king
2018/09/08 3:33:36 PM GMT+1,35 - 39,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,2 - 3,Most likely,Highly Unlikely,Likely,Likely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza,Order in a physical store and dine in,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Agree,Indifferent,Indifferent,Agree,A Jollof Warrior
2018/09/08 3:34:13 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Magodo;Ikoyi;Lekki Phase 1,More than 10,Likely,Highly Unlikely,Likely,Likely,Likely,Closest place;Cheapest place;Vast menu options,Domino's Pizza;Debonair's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Pizza Connoisseur
2018/09/08 3:40:48 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),,2 - 3,Most likely,Likely,Highly Unlikely,Likely,Highly Unlikely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Agree,Agree,Agree,Agree,Agree,Indifferent,Indifferent,A Jollof Warrior
2018/09/08 3:43:42 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,4 - 6,Most likely,Likely,Highly Unlikely,Most likely,Most likely,Closest place,Native Cousine,Order in a physical store and dine in,Via SMS,Indifferent,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 3:47:39 PM GMT+1,25 - 34,Male,"Passionate, I sometimes over talk.",Victoria Island;Lekki Phase 1,More than 10,Highly Unlikely,Likely,Likely,Likely,Likely,Quality;Value for your money,Domino's Pizza,Order online and get delivered,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Stongly Disagrre,Small Chops Supremacist
2018/09/08 3:52:55 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Gbagada,4 - 6,Most likely,Likely,Likely,Likely,Likely,Quality,Domino's Pizza;Debonair's Pizza;crunchies,Order in a physical store and takeaway,In-stores,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Burger Elitist
2018/09/08 3:53:07 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo;Gbagada,4 - 6,Most likely,Highly Unlikely,Likely,Likely,Most likely,Closest place;Vast menu options;Quality;Value for your money,Domino's Pizza,Order in a physical store and dine in,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 3:54:01 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Victoria Island;Ikoyi;Gbagada,7 - 10,Most likely,Highly Unlikely,Likely,Highly Unlikely,Likely,Quality,Domino's Pizza;Debonair's Pizza,Order online and get delivered;Order in a physical store and takeaway,An app belonging to the restaurant,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 4:00:32 PM GMT+1,35 - 39,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Gbagada,2 - 3,Likely,Most likely,Likely,Most likely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and takeaway,Via Emails,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Agree,Strongly Agree,Small Chops Supremacist
2018/09/08 4:05:36 PM GMT+1,18 - 24,Male,"Shy, but I hold my own.",Victoria Island;Ikoyi;Gbagada,0 - 1,Most likely,Highly Unlikely,Likely,Likely,Most likely,Value for your money,Domino's Pizza,Order in a physical store and dine in,An app belonging to the restaurant,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,A Jollof Warrior
2018/09/08 4:14:13 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Magodo;Gbagada,7 - 10,Likely,Most likely,Most likely,Most likely,Most likely,Cheapest place;Vast menu options;Quality,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Indifferent,A Pizza Connoisseur
2018/09/08 4:33:07 PM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Magodo,4 - 6,Likely,Highly Unlikely,Most likely,Likely,Most likely,Quality,Debonair's Pizza,Order in a physical store and dine in,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/08 4:35:02 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,4 - 6,Most likely,Highly Unlikely,Likely,Highly Unlikely,Highly Unlikely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Pizza Connoisseur
2018/09/08 4:35:30 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Lekki Phase 1,2 - 3,Most likely,Highly Unlikely,Most likely,Likely,Highly Unlikely,Closest place;Vast menu options;Quality;Value for your money,Domino's Pizza;Tasty fried chicken,Order online and get delivered;Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A delicious foodie
2018/09/08 4:35:54 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Gbagada,2 - 3,Most likely,Likely,Highly Unlikely,Most likely,Likely,Vast menu options,Debonair's Pizza,Order in a physical store and dine in,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 4:44:08 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Gbagada,4 - 6,Likely,Likely,Most likely,Most likely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza,Order in a physical store and dine in,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Small Chops Supremacist
2018/09/08 4:45:49 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Magodo;Gbagada,0 - 1,Most likely,Likely,Highly Unlikely,Likely,Likely,Closest place;Quality;Value for your money,Domino's Pizza,Order online and get delivered,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 4:50:40 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Lekki Phase 1,0 - 1,Most likely,Highly Unlikely,Likely,Most likely,Most likely,Closest place;Cheapest place;Quality;Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,A Shawarma Expert
2018/09/08 4:50:55 PM GMT+1,35 - 39,Female,"Passionate, I sometimes over talk.",Victoria Island;Lekki Phase 1,More than 10,Likely,Highly Unlikely,Highly Unlikely,Likely,Most likely,Vast menu options;Quality;Value for your money,Milano Pizza;Debonair's Pizza,Order in a physical store and dine in;Order online and pick up;Order in a physical store and takeaway,Via Emails,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,Small Chops Supremacist
2018/09/08 4:53:41 PM GMT+1,18 - 24,Male,I am authoritative.,Gbagada,2 - 3,Likely,Highly Unlikely,Most likely,Most likely,Most likely,Quality,Domino's Pizza,Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,A Jollof Warrior
2018/09/08 5:01:37 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Gbagada,4 - 6,Most likely,Likely,Likely,Highly Unlikely,Likely,Value for your money,Domino's Pizza,Order in a physical store and dine in,Via Emails,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Jollof Warrior
2018/09/08 5:19:42 PM GMT+1,18 - 24,Male,"Passionate, I sometimes over talk.",Victoria Island,7 - 10,Likely,Likely,Most likely,Most likely,Most likely,Closest place;Cheapest place;Quality;Value for your money,Domino's Pizza,Order online and get delivered,In-stores,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 5:21:36 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Magodo,4 - 6,Highly Unlikely,Likely,Most likely,Likely,Highly Unlikely,Closest place;Vast menu options;Quality;Value for your money,Domino's Pizza;Big treat,Order in a physical store and takeaway,Via SMS,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Stongly Disagrre,A Pizza Connoisseur
2018/09/08 5:30:50 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo;Gbagada,4 - 6,Most likely,Highly Unlikely,Likely,Likely,Most likely,Closest place;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 5:31:59 PM GMT+1,35 - 39,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,7 - 10,Highly Unlikely,Likely,Likely,Most likely,Most likely,Vast menu options;Quality;Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Agree,Indifferent,A Shawarma Expert
2018/09/08 5:38:13 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Victoria Island,More than 10,Most likely,Highly Unlikely,Likely,Likely,Most likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,In-stores,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,A Jollof Warrior
2018/09/08 5:53:24 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Magodo;Gbagada,0 - 1,Highly Unlikely,Likely,Likely,Highly Unlikely,Likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
